Month,Starting Balance,Ending Balance,Net Profit,Return %,Max DD %,Trades,Win Rate %,Avg Lot Size,Profit Factor,Status,Classification
2020-01,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2020-02,"$100,000.00","$100,000.00",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2020-03,"$100,000.00","$99,250.00",$-750.00,-0.75%,0.00%,1,0.0%,0.09,0.00,❌ Loss,Slow
2020-04,"$99,250.00","$99,165.31",$-84.69,-0.09%,0.00%,2,50.0%,0.05,0.83,❌ Loss,Slow
2020-05,"$99,165.31","$99,165.31",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2020-06,"$99,165.31","$99,165.31",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2020-07,"$99,165.31","$103,787.59","$4,622.28",4.66%,0.00%,4,100.0%,0.24,4622.28,✅ Profitable,Slow
2020-08,"$103,787.59","$102,494.65","$-1,292.94",-1.25%,-0.50%,2,0.0%,0.21,0.00,❌ Loss,Slow
2020-09,"$102,494.65","$101,983.33",$-511.32,-0.50%,-0.25%,2,0.0%,0.06,0.00,❌ Loss,Slow
2020-10,"$101,983.33","$101,678.44",$-304.89,-0.30%,-0.20%,3,0.0%,0.03,0.00,❌ Loss,Slow
2020-11,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2020-12,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2021-01,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2021-02,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2021-03,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2021-04,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2021-05,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2021-06,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2021-07,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2021-08,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2021-09,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2021-10,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2021-11,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2021-12,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-01,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-02,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-03,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-04,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-05,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-06,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-07,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-08,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-09,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-10,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-11,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-12,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-01,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-02,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-03,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-04,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-05,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-06,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-07,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-08,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-09,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-10,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-11,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-12,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-01,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-02,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-03,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-04,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-05,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-06,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-07,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-08,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-09,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-10,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-11,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-12,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2025-01,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
